41	-0.686	0.018	-0.06	-0.1	-0.177	-0.343	-0.091	0.127	-0.986	0.752	-0.044	-0.362	-0.522	-0.335	-0.117	-0.337	-0.06	0.031	0.186	-0.406	-0.328	-0.248	-0.192	-0.458	-0.246	-0.393	-0.429	-0.385	-0.376	-0.485	0.137	0.226	-0.016	-0.33	-0.27	-0.667	0.202	-0.625	-0.765	-1.047	0.271	-0.703	1
42	-0.082	0.087	0.325	0.052	0.545	-0.247	-0.171	0.11	0.654	-0.94	-0.448	0.769	0.901	0.035	-0.459	0.409	-0.056	0.109	-0.179	-0.113	0.616	0.063	1.253	1.099	0.38	0.145	-0.201	-0.358	0.44	-0.195	-0.573	0.89	-0.111	-0.231	-0.228	-0.134	-0.251	-0.549	0.215	0.32	0.868	-0.533	1
43	-0.052	1.584	1.352	0.899	0.857	1.097	0.879	0.565	1.258	2.238	0.462	0.129	-0.094	0.102	1.214	0.055	-0.052	-0.091	0.291	0.249	-0.504	0.907	1.531	0.64	0.4	0.155	0.866	1.426	1.171	-0.47	1.266	1.05	1.006	0.079	-1.797	0.503	0.286	0.082	-0.112	0.11	0.483	0.74	1
44	-0.041	0.572	1.28	-0.096	0.272	-0.415	0.428	-0.258	1.44	-0.13	0.268	-1.056	0.024	-0.345	0.822	-1.058	-0.044	-0.655	0.622	-0.353	0.116	0.587	0.363	-0.01	0.517	0.145	0.753	-0.567	-0.42	0.507	-0.547	-1.184	0.458	0.283	0.464	0.046	0.429	-1.034	0.707	0.228	0.947	0.213	1
45	0.991	-0.688	-0.158	-0.014	-0.23	1.595	-0.822	0.11	-0.073	-1.326	-0.341	0.155	0.901	0.052	0.343	-0.242	0.176	-0.471	-0.349	0.061	1.243	-0.258	0.428	0.091	1.3	1.411	-0.919	-1.173	-1.036	1.473	-0.484	-0.693	-0.326	0.469	1.128	0.982	1.652	1.47	-0.391	1.184	0.307	0.74	1
46	-0.903	0.747	0.194	0.06	-0.29	-0.343	0.862	-0.501	-0.078	0.947	0.125	-0.512	-0.841	-0.291	0.112	-0.249	-0.06	0.109	0.382	-0.051	-0.666	-0.095	-0.098	0.785	-0.139	-0.284	0.494	0.39	0.049	-0.485	0.251	-0.368	-0.015	-0.204	-1.058	-0.44	-0.495	-0.356	-0.765	-1.329	-0.574	-0.703	1
47	-0.311	-0.247	-0.311	0.164	0.04	-0.201	0.196	0.607	-0.963	0.905	0.034	-0.688	-0.88	-0.463	-0.487	-0.633	-0.307	-0.3	-0.283	-0.388	0.345	-0.568	-0.084	-0.262	0.256	-0.713	-0.018	0.15	0.247	-0.485	0.391	0.151	0.067	0.035	-0.051	-0.072	-0.327	0.967	-0.805	-0.648	-0.239	-0.422	1
48	0.415	-0.266	-0.048	0.297	-0.279	0.524	-0.171	0.55	-0.108	-0.006	-0.221	0.556	0.3	0.035	-0.578	-0.06	0.042	0.223	-0.761	0.571	-0.058	-0.169	-0.632	0.058	0.506	-0.284	-1.118	-0.146	-0.521	0.232	-0.146	-0.593	0.693	-0.491	-0.355	0.379	1.104	-0.343	1.079	0.476	0.042	0.837	1
49	-0.026	0.217	1.739	1.116	0.366	1.514	0.686	0.186	1.511	-0.917	0.876	-1.696	-1.382	-0.7	0.75	1.214	-0.057	-0.5	1.975	-0.066	0.769	1.053	1.523	0.546	0.834	1.096	-0.17	0.191	0.55	0.544	-0.378	0.411	1.074	0.918	1.128	-0.41	0.442	0.561	1.079	0.85	0.789	0.497	1
50	-0.267	-0.035	-0.642	-0.354	-0.393	0.359	-0.403	-0.057	-0.073	-0.982	-0.448	0.031	0.625	-0.144	-0.712	-0.153	0.042	0.185	-0.464	-0.505	-0.139	-0.165	-0.052	-0.873	0.271	-0.284	-0.263	-0.581	-0.626	-0.277	-0.556	0.179	-0.354	-0.599	-0.367	-0.44	0.454	-0.252	-0.765	-0.34	-0.017	0.213	1
